longitude,latitude,city,soil_id,wrb4_code,wrb2_code,wrb2_description,fao90_code,physical_root_depth,physical_available_water_capacity,basic_ph,basic_organic_carbon,basic_total_nitrogen,basic_c/n_ratio,texture_clay,texture_silt,texture_sand,texture_coarse_fragments,physical_bulk_density,physical_reference_bulk_density,chemical_cation_exchange_capacity,chemical_clay_cec,chemical_effective_cec,chemical_total_exchangeable_bases,chemical_base_saturation,chemical_exchangeable_sodium_percentage,chemical_aluminum_saturation,salinity_electrical_conductivity,salinity_total_carbon_equivalent,salinity_gypsum_content
26.8,41.6,Edirne,45158,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
26.8,41.8,Edirne,45158,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.0,38.2,İzmir,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.0,38.4,İzmir,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.0,38.6,İzmir,43579,FLca,FL,"Fluvisols - Stratified fluviatile, marine or lacustrine sediments",FLc,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.0,38.8,İzmir,43579,FLca,FL,"Fluvisols - Stratified fluviatile, marine or lacustrine sediments",FLc,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.0,39.0,İzmir,43579,FLca,FL,"Fluvisols - Stratified fluviatile, marine or lacustrine sediments",FLc,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.0,39.2,İzmir,43579,FLca,FL,"Fluvisols - Stratified fluviatile, marine or lacustrine sediments",FLc,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.0,39.4,Balıkesir,43579,FLca,FL,"Fluvisols - Stratified fluviatile, marine or lacustrine sediments",FLc,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.0,39.6,Van,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.0,39.8,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.0,40.2,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.0,41.4,Kırklareli,45158,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.0,41.6,Edirne,45158,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.0,41.8,Edirne,45158,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,37.4,Aydın,9322,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,37.6,Aydın,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,38.0,İzmir,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,38.2,İzmir,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,38.4,İzmir,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,38.6,İzmir,43579,FLca,FL,"Fluvisols - Stratified fluviatile, marine or lacustrine sediments",FLc,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.2,39.0,İzmir,43579,FLca,FL,"Fluvisols - Stratified fluviatile, marine or lacustrine sediments",FLc,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.2,39.2,İzmir,43579,FLca,FL,"Fluvisols - Stratified fluviatile, marine or lacustrine sediments",FLc,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.2,39.4,Balıkesir,43579,FLca,FL,"Fluvisols - Stratified fluviatile, marine or lacustrine sediments",FLc,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.2,39.6,Balıkesir,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.2,39.8,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.2,40.0,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.2,40.2,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.4,1.763,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.2,40.4,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.4,1.597,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.2,41.4,Kırklareli,45158,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,41.6,Kırklareli,45158,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.2,41.8,Kırklareli,45158,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,37.0,Muğla,9322,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,37.4,Aydın,9322,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,37.6,Aydın,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,37.8,Aydın,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,38.0,İzmir,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,38.2,İzmir,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,38.4,İzmir,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,39.0,İzmir,43579,FLca,FL,"Fluvisols - Stratified fluviatile, marine or lacustrine sediments",FLc,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.4,39.2,İzmir,43579,FLca,FL,"Fluvisols - Stratified fluviatile, marine or lacustrine sediments",FLc,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.4,39.4,Balıkesir,43579,FLca,FL,"Fluvisols - Stratified fluviatile, marine or lacustrine sediments",FLc,1,168,7.9,0.895,0.88,9.0,21.0,40.0,39.0,2.0,1.42,1.73,13.0,52.0,29.0,28.0,100.0,2.0,0.0,2.0,10.1,0.5
27.4,39.6,Balıkesir,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.6,1.597,1.32,10.5,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.4,39.8,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.4,1.597,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.4,40.0,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.4,1.597,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.4,40.2,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.5,1.597,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
27.4,41.4,Kırklareli,45158,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,41.6,Kırklareli,45158,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.4,41.8,Kırklareli,45158,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,37.0,Muğla,46943,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,37.2,Muğla,46943,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,37.4,Muğla,46943,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,37.6,Aydın,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,37.8,Aydın,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,38.0,Aydın,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,38.2,İzmir,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,38.4,İzmir,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
27.6,38.8,Manisa,46303,LPmo,LP,Leptosols - Thin or with many coarse fragments,LPm,3,41,6.6,3.355,3.27,10.0,22.0,35.0,43.0,10.0,1.14,1.74,24.0,54.0,29.0,29.0,88.0,1.0,0.0,1.0,0.0,0.3
27.6,39.0,Manisa,46303,LPmo,LP,Leptosols - Thin or with many coarse fragments,LPm,3,41,6.6,3.355,3.27,10.0,22.0,35.0,43.0,10.0,1.14,1.74,24.0,54.0,29.0,29.0,88.0,1.0,0.0,1.0,0.0,0.3
